topology,nb_roots,nb_proc,size,time,Gflops
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,0.85841591,1874.0496084234971
"3;24,24,48;1,24,12;1,1,1",288,8649,9300,0.86085731,1868.7347848623135
"3;24,24,48;1,24,1;1,1,1",24,8649,9300,0.94370909,1704.6715105817195
"3;24,24,48;1,24,22;1,1,1",528,8649,9300,0.86818326,1852.9659279539667
