nb_proc,msg_size,time
64,200000,0.00417236
16,210000,0.00117019
64,210000,0.0043788
16,220000,0.00121929
64,220000,0.00458525
16,230000,0.00126851
64,230000,0.00479168
16,240000,0.00131769
64,240000,0.00499818
16,250000,0.00136686
64,250000,0.00520455
16,60000,0.01002683
64,60000,0.01018356
16,70000,0.01151293
64,70000,0.01166966
16,80000,0.01308209
64,80000,0.01323881
16,90000,0.01456816
64,90000,0.0147249
16,100000,0.00063938
64,100000,0.00214923
16,110000,0.00068854
64,110000,0.00235575
16,120000,0.00073766
64,120000,0.00256215
16,130000,0.00078684
64,130000,0.00276857
16,140000,0.00083599
64,140000,0.00297508
16,150000,0.00088515
64,150000,0.00318152
16,160000,0.00093428
64,160000,0.00338786
16,170000,0.00098349
64,170000,0.00359437
16,180000,0.00102269
64,180000,0.00375956
16,190000,0.0010719
64,190000,0.00396599
16,200000,0.00112101
64,200000,0.00417235
16,210000,0.00117022
64,210000,0.00437879
16,220000,0.0012193
64,220000,0.00458524
16,230000,0.00126848
64,230000,0.00479167
16,240000,0.00131768
64,240000,0.00499817
16,250000,0.00136684
64,250000,0.00520461
16,60000,0.01002687
64,60000,0.01018356
16,70000,0.01151297
64,70000,0.01166967
16,80000,0.01308208
64,80000,0.01323882
16,90000,0.01456814
64,90000,0.01472491
16,100000,0.00063939
64,100000,0.00214925
16,110000,0.00068852
64,110000,0.00235568
16,120000,0.00073769
64,120000,0.00256213
16,130000,0.00078687
64,130000,0.00276866
16,140000,0.00083601
64,140000,0.00297513
16,150000,0.00088513
64,150000,0.00318153
16,160000,0.00093428
64,160000,0.00338785
16,170000,0.00098342
64,170000,0.0035943
16,180000,0.00102268
64,180000,0.00375958
16,190000,0.00107185
64,190000,0.00396598
16,200000,0.00112107
64,200000,0.0041724
16,210000,0.00117013
64,210000,0.00437879
16,220000,0.00121927
64,220000,0.00458524
16,230000,0.00126852
64,230000,0.00479169
16,240000,0.00131765
64,240000,0.00499818
16,250000,0.00136682
64,250000,0.00520463
16,60000,0.01002688
64,60000,0.01018354
16,70000,0.01151291
64,70000,0.01166966
16,80000,0.01308211
64,80000,0.01323884
16,90000,0.01456816
64,90000,0.01472483
16,100000,0.00063934
64,100000,0.00214926
16,110000,0.00068851
64,110000,0.00235569
16,120000,0.00073766
64,120000,0.00256211
16,130000,0.00078682
64,130000,0.00276866
16,140000,0.00083598
64,140000,0.00297508
16,150000,0.00088512
64,150000,0.00318153
16,160000,0.00093426
64,160000,0.00338789
16,170000,0.00098342
64,170000,0.00359433
16,180000,0.00102271
64,180000,0.00375954
16,190000,0.00107181
64,190000,0.00396599
16,200000,0.00112098
64,200000,0.00417237
16,210000,0.00117027
64,210000,0.0043788
16,220000,0.00121931
64,220000,0.00458524
16,230000,0.00126851
64,230000,0.00479169
16,240000,0.00131767
64,240000,0.0049981
16,250000,0.00136677
64,250000,0.00520463
16,60000,0.01002686
64,60000,0.01018358
16,70000,0.01151295
64,70000,0.01166964
16,80000,0.01308209
64,80000,0.01323879
16,90000,0.01456815
64,90000,0.01472486
16,100000,0.00063937
64,100000,0.00214925
16,110000,0.00068851
64,110000,0.00235568
16,120000,0.00073769
64,120000,0.00256214
16,130000,0.00078683
64,130000,0.00276866
16,140000,0.00083599
64,140000,0.00297498
16,150000,0.00088512
64,150000,0.00318152
16,160000,0.0009343
64,160000,0.00338789
16,170000,0.00098348
64,170000,0.0035943
16,180000,0.00102271
64,180000,0.00375957
16,190000,0.00107035
64,190000,0.00396606
16,200000,0.00112113
64,200000,0.00417236
16,210000,0.00117013
64,210000,0.00437879
16,220000,0.0012193
64,220000,0.00458527
16,230000,0.00126854
64,230000,0.00479168
16,240000,0.00131765
64,240000,0.00499819
16,250000,0.00136681
64,250000,0.00520455
16,90000,0.01456814
64,90000,0.01472484
16,91000,0.0147248
64,91000,0.01488155
16,92000,0.01488162
64,92000,0.01503831
16,93000,0.00060986
64,93000,0.00202537
16,94000,0.0006099
64,94000,0.00202538
16,95000,0.0006197
64,95000,0.00206676
16,96000,0.00061975
64,96000,0.00206677
16,97000,0.00062949
64,97000,0.00210801
16,98000,0.0006295
64,98000,0.00210798
16,99000,0.00063937
64,99000,0.00214926
16,100000,0.00063936
64,100000,0.00214927
16,101000,0.00064919
64,101000,0.00219062
16,102000,0.00064922
64,102000,0.00219065
16,103000,0.00065904
64,103000,0.00223181
16,104000,0.00065906
64,104000,0.00223182
16,105000,0.00066888
64,105000,0.00227312
16,106000,0.00066885
64,106000,0.00227313
16,107000,0.00067868
64,107000,0.00231441
16,108000,0.00067872
64,108000,0.00231441
16,109000,0.00068853
64,109000,0.00235563
16,90000,0.01456813
64,90000,0.01472486
16,91000,0.01472483
64,91000,0.01488155
16,92000,0.01488162
64,92000,0.01503831
16,93000,0.00060989
64,93000,0.00202541
16,94000,0.0006099
64,94000,0.00202541
16,95000,0.00061968
64,95000,0.00206678
16,96000,0.00061973
64,96000,0.00206675
16,97000,0.00062947
64,97000,0.00210798
16,98000,0.00062948
64,98000,0.00210802
16,99000,0.00063945
64,99000,0.00214927
16,100000,0.00063939
64,100000,0.00214926
16,101000,0.00064925
64,101000,0.00219061
16,102000,0.00064919
64,102000,0.00219061
16,103000,0.00065905
64,103000,0.00223184
16,104000,0.00065898
64,104000,0.00223187
16,105000,0.00066885
64,105000,0.00227313
16,106000,0.00066888
64,106000,0.00227314
16,107000,0.00067868
64,107000,0.00231449
16,108000,0.00067871
64,108000,0.00231441
16,109000,0.00068858
64,109000,0.00235567
16,90000,0.01456817
64,90000,0.01472481
16,91000,0.01472484
64,91000,0.01488151
16,92000,0.01488159
64,92000,0.01503833
16,93000,0.00060989
64,93000,0.00202544
16,94000,0.00060993
64,94000,0.00202542
16,95000,0.00061972
64,95000,0.00206673
16,96000,0.00061971
64,96000,0.00206673
16,97000,0.00062948
64,97000,0.00210798
16,98000,0.0006295
64,98000,0.00210798
16,99000,0.00063936
64,99000,0.00214922
16,100000,0.00063938
64,100000,0.00214927
16,101000,0.0006492
64,101000,0.00219063
16,102000,0.00064916
64,102000,0.00219055
16,103000,0.00065895
64,103000,0.00223184
16,104000,0.00065903
64,104000,0.00223187
16,105000,0.00066888
64,105000,0.00227313
16,106000,0.00066883
64,106000,0.0022731
16,107000,0.00067869
64,107000,0.00231448
16,108000,0.0006787
64,108000,0.00231448
16,109000,0.00068853
64,109000,0.0023557
16,92000,0.01488162
64,92000,0.0150383
16,92100,0.01488155
64,92100,0.01503824
16,92200,0.01496222
64,92200,0.01511888
16,92300,0.01495981
64,92300,0.0151165
16,92400,0.01495989
64,92400,0.01511657
16,92500,0.01495992
64,92500,0.01511663
16,92600,0.01495987
64,92600,0.0151166
16,92700,0.00060987
64,92700,0.00202543
16,92800,0.00060989
64,92800,0.0020254
16,92900,0.00060989
64,92900,0.00202537
16,93000,0.00060989
64,93000,0.00202545
16,93100,0.00060989
64,93100,0.00202541
16,93200,0.00060986
64,93200,0.00202543
16,93300,0.00060991
64,93300,0.00202543
16,93400,0.00060987
64,93400,0.0020254
16,93500,0.00060988
64,93500,0.00202539
16,93600,0.00060992
64,93600,0.00202539
16,93700,0.00060988
64,93700,0.00202544
16,93800,0.00060988
64,93800,0.0020254
16,93900,0.00060987
64,93900,0.0020254
16,92000,0.01488161
64,92000,0.0150383
16,92100,0.01488158
64,92100,0.01503824
16,92200,0.01496218
64,92200,0.01511889
16,92300,0.01495982
64,92300,0.01511651
16,92400,0.01495991
64,92400,0.01511656
16,92500,0.01495991
64,92500,0.01511663
16,92600,0.01495988
64,92600,0.01511653
16,92700,0.00060987
64,92700,0.00202538
16,92800,0.00060994
64,92800,0.00202543
16,92900,0.00060988
64,92900,0.00202544
16,93000,0.0006099
64,93000,0.00202541
16,93100,0.00060989
64,93100,0.00202541
16,93200,0.00060984
64,93200,0.0020254
16,93300,0.00060987
64,93300,0.00202541
16,93400,0.00060991
64,93400,0.0020254
16,93500,0.0006099
64,93500,0.0020254
16,93600,0.00060987
64,93600,0.00202544
16,93700,0.00060986
64,93700,0.00202541
16,93800,0.0006099
