fat_tree,nb_roots,nb_proc,size,time
"2;24,48;1,11;1,1",11,1089,6600,3.24904935
"2;24,48;1,16;1,1",16,1089,6600,3.16535821
"2;24,48;1,14;1,1",14,1089,6600,3.24705453
"2;24,48;1,7;1,1",7,1089,6600,3.63703663
"2;24,48;1,20;1,1",20,1089,6600,3.17885518
"2;24,48;1,9;1,1",9,1089,6600,3.38835658
"2;24,48;1,17;1,1",17,1089,6600,3.22643752
"2;24,48;1,22;1,1",22,1089,6600,3.1614265
"2;24,48;1,5;1,1",5,1089,6600,3.88997911
"2;24,48;1,15;1,1",15,1089,6600,3.22971678
"2;24,48;1,6;1,1",6,1089,6600,3.72134385
"2;24,48;1,8;1,1",8,1089,6600,3.40026981
"2;24,48;1,24;1,1",24,1089,6600,3.08562132
"2;24,48;1,18;1,1",18,1089,6600,3.18184063
"2;24,48;1,1;1,1",1,1089,6600,8.04042744
"2;24,48;1,21;1,1",21,1089,6600,3.14798694
"2;24,48;1,4;1,1",4,1089,6600,4.05167837
"2;24,48;1,13;1,1",13,1089,6600,3.21814821
"2;24,48;1,3;1,1",3,1089,6600,4.39723866
"2;24,48;1,2;1,1",2,1089,6600,5.4315693
"2;24,48;1,10;1,1",10,1089,6600,3.39884076
"2;24,48;1,23;1,1",23,1089,6600,3.10398336
"2;24,48;1,19;1,1",19,1089,6600,3.17244628
"2;24,48;1,12;1,1",12,1089,6600,3.24513758
"2;24,48;1,11;1,1",11,1089,6600,3.25588776
"2;24,48;1,22;1,1",22,1089,6600,3.15809587
"2;24,48;1,4;1,1",4,1089,6600,4.05958255
"2;24,48;1,14;1,1",14,1089,6600,3.23573705
"2;24,48;1,12;1,1",12,1089,6600,3.30096244
"2;24,48;1,7;1,1",7,1089,6600,3.61103744
"2;24,48;1,8;1,1",8,1089,6600,3.46492491
"2;24,48;1,21;1,1",21,1089,6600,3.15028442
"2;24,48;1,10;1,1",10,1089,6600,3.40135831
"2;24,48;1,19;1,1",19,1089,6600,3.24576479
"2;24,48;1,20;1,1",20,1089,6600,3.1628385
"2;24,48;1,15;1,1",15,1089,6600,3.2544849
"2;24,48;1,2;1,1",2,1089,6600,5.43473721
"2;24,48;1,6;1,1",6,1089,6600,3.62192208
"2;24,48;1,23;1,1",23,1089,6600,3.10943505
"2;24,48;1,13;1,1",13,1089,6600,3.2329475
"2;24,48;1,3;1,1",3,1089,6600,4.41083524
"2;24,48;1,5;1,1",5,1089,6600,3.87677063
"2;24,48;1,17;1,1",17,1089,6600,3.19553606
"2;24,48;1,18;1,1",18,1089,6600,3.57139759
"2;24,48;1,24;1,1",24,1089,6600,3.11337713
"2;24,48;1,9;1,1",9,1089,6600,3.38457749
"2;24,48;1,1;1,1",1,1089,6600,8.0627669
"2;24,48;1,16;1,1",16,1089,6600,3.16099577
"2;24,48;1,16;1,1",16,1089,6600,3.37135801
"2;24,48;1,12;1,1",12,1089,6600,3.22716195
"2;24,48;1,22;1,1",22,1089,6600,3.1075185
"2;24,48;1,7;1,1",7,1089,6600,3.62931957
"2;24,48;1,11;1,1",11,1089,6600,3.2515695
"2;24,48;1,8;1,1",8,1089,6600,3.40141622
"2;24,48;1,9;1,1",9,1089,6600,3.39761062
"2;24,48;1,2;1,1",2,1089,6600,5.36339643
"2;24,48;1,23;1,1",23,1089,6600,3.09146479
"2;24,48;1,5;1,1",5,1089,6600,4.01243221
"2;24,48;1,24;1,1",24,1089,6600,3.42097298
"2;24,48;1,15;1,1",15,1089,6600,3.24031404
"2;24,48;1,1;1,1",1,1089,6600,8.02509853
"2;24,48;1,14;1,1",14,1089,6600,3.25731359
"2;24,48;1,4;1,1",4,1089,6600,4.05708698
"2;24,48;1,21;1,1",21,1089,6600,3.14389031
"2;24,48;1,3;1,1",3,1089,6600,4.38718627
"2;24,48;1,20;1,1",20,1089,6600,3.17578981
"2;24,48;1,17;1,1",17,1089,6600,3.18617792
"2;24,48;1,18;1,1",18,1089,6600,3.20446377
"2;24,48;1,19;1,1",19,1089,6600,3.29381006
"2;24,48;1,13;1,1",13,1089,6600,3.22088831
"2;24,48;1,6;1,1",6,1089,6600,3.63316518
"2;24,48;1,10;1,1",10,1089,6600,3.38635829
"2;24,48;1,8;1,1",8,1089,6600,3.43193881
"2;24,48;1,21;1,1",21,1089,6600,3.21865382
"2;24,48;1,7;1,1",7,1089,6600,3.61814791
"2;24,48;1,12;1,1",12,1089,6600,3.24723518
"2;24,48;1,17;1,1",17,1089,6600,3.18303729
"2;24,48;1,20;1,1",20,1089,6600,3.16295572
"2;24,48;1,4;1,1",4,1089,6600,4.04541673
"2;24,48;1,3;1,1",3,1089,6600,4.41187853
"2;24,48;1,18;1,1",18,1089,6600,3.14758887
"2;24,48;1,14;1,1",14,1089,6600,3.26406857
"2;24,48;1,23;1,1",23,1089,6600,3.11711021
"2;24,48;1,6;1,1",6,1089,6600,3.62419033
"2;24,48;1,1;1,1",1,1089,6600,8.04387115
"2;24,48;1,2;1,1",2,1089,6600,5.3952717
"2;24,48;1,24;1,1",24,1089,6600,3.14461953
"2;24,48;1,22;1,1",22,1089,6600,3.13091781
"2;24,48;1,9;1,1",9,1089,6600,3.39267189
"2;24,48;1,10;1,1",10,1089,6600,3.38480154
"2;24,48;1,11;1,1",11,1089,6600,3.25643295
"2;24,48;1,13;1,1",13,1089,6600,3.21583267
"2;24,48;1,16;1,1",16,1089,6600,3.16778758
"2;24,48;1,15;1,1",15,1089,6600,3.22643443
"2;24,48;1,19;1,1",19,1089,6600,3.19039041
"2;24,48;1,5;1,1",5,1089,6600,3.87602089
"2;24,48;1,15;1,1",15,1089,6600,3.2410445
"2;24,48;1,6;1,1",6,1089,6600,3.62284359
"2;24,48;1,21;1,1",21,1089,6600,3.14133454
"2;24,48;1,13;1,1",13,1089,6600,3.24047021
"2;24,48;1,2;1,1",2,1089,6600,5.38189543
"2;24,48;1,3;1,1",3,1089,6600,4.40696558
"2;24,48;1,23;1,1",23,1089,6600,3.09478692
"2;24,48;1,24;1,1",24,1089,6600,3.09282593
"2;24,48;1,19;1,1",19,1089,6600,3.16964982
"2;24,48;1,8;1,1",8,1089,6600,3.39775136
"2;24,48;1,12;1,1",12,1089,6600,3.24136909
"2;24,48;1,16;1,1",16,1089,6600,3.17916897
"2;24,48;1,4;1,1",4,1089,6600,4.06267685
"2;24,48;1,9;1,1",9,1089,6600,3.37463659
"2;24,48;1,17;1,1",17,1089,6600,3.20569121
"2;24,48;1,1;1,1",1,1089,6600,8.04537193
"2;24,48;1,10;1,1",10,1089,6600,3.44534318
"2;24,48;1,22;1,1",22,1089,6600,3.12287753
"2;24,48;1,14;1,1",14,1089,6600,3.25943479
"2;24,48;1,5;1,1",5,1089,6600,3.86350646
"2;24,48;1,11;1,1",11,1089,6600,3.27128261
"2;24,48;1,7;1,1",7,1089,6600,3.63380582
"2;24,48;1,20;1,1",20,1089,6600,3.2012769
"2;24,48;1,18;1,1",18,1089,6600,3.20258017
