nb_proc,msg_size,time
64,10500,0.00098918
16,11000,0.00067482
64,11000,0.00099261
16,11500,0.00067649
64,11500,0.00099604
16,12000,0.00067816
64,12000,0.00099947
16,12500,0.00067982
64,12500,0.0010029
16,13000,0.0006815
64,13000,0.00100632
16,13500,0.00068316
64,13500,0.00100976
16,14000,0.00068484
64,14000,0.00101319
16,14500,0.0006865
64,14500,0.0010166
16,15000,0.00068817
64,15000,0.00102005
16,15500,0.00068984
64,15500,0.00102348
16,16000,0.00069151
64,16000,0.00102691
16,16500,0.00196537
64,16500,0.00290808
16,17000,0.00196603
64,17000,0.00290915
16,17500,0.00196673
64,17500,0.00291012
16,18000,0.00196742
64,18000,0.00291114
16,18500,0.00196809
64,18500,0.0029122
16,19000,0.00196878
64,19000,0.00291318
16,19500,0.00196946
64,19500,0.00291425
16,20000,0.00197014
64,20000,0.00291528
16,1000,0.00038419
64,1000,0.0005382
16,1500,0.00043481
64,1500,0.00061513
16,2000,0.00043641
64,2000,0.00061849
16,2500,0.00050334
64,2500,0.00071963
16,3000,0.00050508
64,3000,0.00072308
16,3500,0.00050681
64,3500,0.00072656
16,4000,0.00065145
64,4000,0.00094461
16,4500,0.00065312
64,4500,0.00094803
16,5000,0.00065478
64,5000,0.00095146
16,5500,0.00065646
64,5500,0.00095489
16,6000,0.00065812
64,6000,0.00095832
16,6500,0.00065979
64,6500,0.00096175
16,7000,0.00066147
64,7000,0.00096519
16,7500,0.00066315
64,7500,0.00096861
16,8000,0.00066481
64,8000,0.00097203
16,8500,0.00066649
64,8500,0.00097547
16,9000,0.00066814
64,9000,0.0009789
16,9500,0.00066982
64,9500,0.00098233
16,10000,0.00067148
64,10000,0.00098576
16,10500,0.00067315
64,10500,0.00098918
16,11000,0.00067482
64,11000,0.00099261
16,11500,0.0006765
64,11500,0.00099605
16,12000,0.00067816
64,12000,0.00099947
16,12500,0.00067983
64,12500,0.00100291
16,13000,0.0006815
64,13000,0.00100633
16,13500,0.00068315
64,13500,0.00100977
16,14000,0.00068484
64,14000,0.00101316
16,14500,0.00068651
64,14500,0.00101662
16,15000,0.00068817
64,15000,0.00102004
16,15500,0.00068985
64,15500,0.00102348
16,16000,0.00069152
64,16000,0.00102691
16,16500,0.00196538
64,16500,0.00290807
16,17000,0.00196605
64,17000,0.00290915
16,17500,0.00196673
64,17500,0.00291016
16,18000,0.00196741
64,18000,0.00291123
16,18500,0.00196816
64,18500,0.00291221
16,19000,0.00196878
64,19000,0.00291319
16,19500,0.00196942
64,19500,0.00291425
16,20000,0.00197014
64,20000,0.00291528
16,1000,0.0003842
64,1000,0.00053819
16,1500,0.00043482
64,1500,0.00061512
16,2000,0.00043642
64,2000,0.00061849
16,2500,0.00050339
64,2500,0.00071962
16,3000,0.0005051
64,3000,0.00072309
16,3500,0.00050677
64,3500,0.00072657
16,4000,0.00065145
64,4000,0.0009446
16,4500,0.00065311
64,4500,0.00094802
16,5000,0.00065479
64,5000,0.00095147
16,5500,0.00065645
64,5500,0.00095488
16,6000,0.00065813
64,6000,0.0009583
16,6500,0.00065979
64,6500,0.00096173
16,7000,0.00066145
64,7000,0.00096519
16,7500,0.00066309
64,7500,0.00096861
16,8000,0.00066478
64,8000,0.00097204
16,8500,0.00066648
64,8500,0.00097547
16,9000,0.00066813
64,9000,0.00097888
16,9500,0.00066982
64,9500,0.00098231
16,10000,0.00067149
64,10000,0.00098567
16,10500,0.0006731
64,10500,0.00098918
16,11000,0.00067482
64,11000,0.00099261
16,11500,0.00067649
64,11500,0.00099605
16,12000,0.00067815
64,12000,0.00099947
16,12500,0.00067983
64,12500,0.0010029
16,13000,0.0006815
64,13000,0.00100632
16,13500,0.00068318
64,13500,0.00100976
16,14000,0.0006848
64,14000,0.0010132
16,14500,0.00068647
64,14500,0.00101663
16,15000,0.00068817
64,15000,0.00102004
16,15500,0.00068984
64,15500,0.00102347
16,16000,0.00069152
64,16000,0.0010269
16,16500,0.00196537
64,16500,0.00290806
16,17000,0.00196605
64,17000,0.00290917
16,17500,0.00196673
64,17500,0.00291012
16,18000,0.00196742
64,18000,0.00291117
16,18500,0.00196809
64,18500,0.00291221
16,19000,0.00196878
64,19000,0.00291322
16,19500,0.00196944
64,19500,0.00291426
16,20000,0.00197015
64,20000,0.00291526
16,1000,0.0003842
64,1000,0.00053821
16,1500,0.00043481
64,1500,0.00061499
16,2000,0.00043635
64,2000,0.00061851
16,2500,0.00050337
64,2500,0.00071954
16,3000,0.000505
64,3000,0.00072308
16,3500,0.0005068
64,3500,0.00072654
16,4000,0.00065138
64,4000,0.00094461
16,4500,0.00065312
64,4500,0.00094804
16,5000,0.00065476
64,5000,0.00095146
16,5500,0.00065645
64,5500,0.00095488
16,6000,0.00065812
64,6000,0.00095833
16,6500,0.0006598
64,6500,0.00096169
16,7000,0.00066145
64,7000,0.00096509
16,7500,0.00066308
64,7500,0.00096861
16,8000,0.0006648
64,8000,0.00097205
16,8500,0.00066648
64,8500,0.00097547
16,9000,0.00066815
64,9000,0.00097889
16,9500,0.00066982
64,9500,0.00098233
16,10000,0.00067148
64,10000,0.00098576
16,10500,0.00067316
64,10500,0.00098919
16,11000,0.00067483
64,11000,0.00099261
16,11500,0.00067649
64,11500,0.00099604
16,12000,0.00067817
64,12000,0.00099948
16,12500,0.00067984
64,12500,0.00100289
16,13000,0.0006815
64,13000,0.00100632
16,13500,0.00068318
64,13500,0.00100976
16,14000,0.00068484
64,14000,0.0010132
16,14500,0.00068651
64,14500,0.00101666
16,15000,0.00068818
64,15000,0.00102004
16,15500,0.00068985
64,15500,0.00102354
16,16000,0.00069152
64,16000,0.00102691
16,16500,0.00196538
64,16500,0.00290813
16,17000,0.00196606
64,17000,0.00290916
16,17500,0.00196671
64,17500,0.00291017
16,18000,0.00196742
64,18000,0.00291113
16,18500,0.0019681
64,18500,0.00291221
16,19000,0.00196878
64,19000,0.00291322
16,19500,0.00196946
64,19500,0.00291426
16,20000,0.00197014
64,20000,0.00291528
16,1000,0.00038421
64,1000,0.00053819
16,1500,0.00043482
64,1500,0.00061513
16,2000,0.00043641
64,2000,0.00061849
16,2500,0.00050339
64,2500,0.00071962
16,3000,0.0005051
64,3000,0.00072309
16,3500,0.00050682
64,3500,0.00072657
16,4000,0.00065146
64,4000,0.00094459
16,4500,0.00065313
64,4500,0.00094804
16,5000,0.00065479
64,5000,0.00095146
