fat_tree,nb_roots,nb_proc,size,time
"2;24,48;1,6;1,1",6,144,6600,16.07917966
"2;24,48;1,17;1,1",17,144,6600,16.29368529
"2;24,48;1,2;1,1",2,144,6600,18.06146927
"2;24,48;1,21;1,1",21,144,6600,15.92100823
"2;24,48;1,11;1,1",11,144,6600,16.00552789
"2;24,48;1,22;1,1",22,144,6600,15.71753617
"2;24,48;1,12;1,1",12,144,6600,15.69916306
"2;24,48;1,16;1,1",16,144,6600,15.91006351
"2;24,48;1,3;1,1",3,144,6600,16.91182361
"2;24,48;1,20;1,1",20,144,6600,15.79801175
"2;24,48;1,7;1,1",7,144,6600,16.16003329
"2;24,48;1,4;1,1",4,144,6600,16.90430794
"2;24,48;1,14;1,1",14,144,6600,15.95787476
"2;24,48;1,24;1,1",24,144,6600,15.69371934
"2;24,48;1,10;1,1",10,144,6600,16.0720996
"2;24,48;1,19;1,1",19,144,6600,15.71015814
"2;24,48;1,13;1,1",13,144,6600,16.13817773
"2;24,48;1,1;1,1",1,144,6600,20.00744477
"2;24,48;1,8;1,1",8,144,6600,16.18188892
"2;24,48;1,9;1,1",9,144,6600,15.99507157
"2;24,48;1,23;1,1",23,144,6600,16.11232288
