topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5415,0.54911962,0.28574943
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5262,0.54933658,0.28551546
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4328,0.54801423,0.28682275
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6693,0.54648227,0.28834117
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6968,0.54597001,0.28887415
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4902,0.54819203,0.28667399
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5541,0.5480555,0.28678053
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2585,0.54625874,0.28859602
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5630,0.54956607,0.28534077
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7936,0.54960102,0.28530133
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7294,0.54841326,0.28647582
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2767,0.54891242,0.28600995
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5509,0.5478259,0.28706058
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4904,0.54817619,0.28669855
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3968,0.54813999,0.28677179
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3706,0.54774143,0.28716507
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5723,0.54888726,0.28605612
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2665,0.54774292,0.28717994
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4997,0.54667887,0.28822354
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2757,0.54721998,0.2877193
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7295,0.5464384,0.28852754
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4676,0.54708036,0.2878001
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2858,0.54856185,0.28640799
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2758,0.54853546,0.28641655
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3337,0.54708876,0.28784949
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4998,0.54780553,0.28714587
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7388,0.54716445,0.28779454
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8120,0.54944542,0.28556343
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4211,0.54872984,0.28627295
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3061,0.54680367,0.28815926
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4331,0.54934935,0.28563168
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4540,0.54694425,0.28799548
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2664,0.54816297,0.28683239
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2411,0.54914648,0.28583645
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5235,0.54933313,0.28569826
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4905,0.54778844,0.28722198
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4817,0.54824288,0.28676084
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6941,0.54654163,0.28842921
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4118,0.5469283,0.28807095
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7209,0.54961749,0.28539375
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3609,0.54713611,0.28789666
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2308,0.54868013,0.28634373
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6960,0.54812649,0.28689433
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4330,0.54859719,0.28645905
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6475,0.54742455,0.287579
