nb_root_switches,time
10,3.4007971
9,3.38833177
20,3.1963597
6,3.63705183
18,3.15173082
17,3.19336777
5,3.88942106
2,5.4071416
4,4.05463337
24,3.09287201
3,4.42677604
23,3.09530882
19,3.20663912
21,3.14687853
8,3.39596041
1,8.03549219
13,3.23351881
22,3.10673433
16,3.17306281
14,3.23930666
15,3.22059527
7,3.62403511
12,3.23914622
11,3.26051757
1,8.03621249
12,3.23432043
8,3.40179601
17,3.18375609
22,3.10760074
18,3.16560966
10,3.38364222
16,3.18564516
3,4.41268926
2,5.39159525
7,3.61292436
6,3.62365864
4,4.03113324
21,3.17051915
5,3.90553598
19,3.17596523
20,3.18363739
9,3.38762593
15,3.2422952
24,3.0863096
23,3.09741056
13,3.2179573
11,3.26174696
14,3.23806701
10,3.39424934
17,3.19159053
9,3.37375396
19,3.18057003
5,3.87724804
18,3.15495101
14,3.2412967
15,3.23922279
16,3.16699612
4,4.05302893
11,3.2524461
20,3.17127507
23,3.10714952
3,4.39663319
22,3.11855361
1,8.00960723
2,5.39656959
8,3.40232739
24,3.08775906
13,3.22022009
6,3.62017834
12,3.23464863
7,3.61161543
21,3.14344582
